지점,시작일,종료일,지점명,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
955,2001.12.01, ,서수도,인천기상대(112),37.325,126.3933,18,,,,
956,2001.12.01, ,가대암,,36.770,125.9767,16,,,,
957,2003.10.01, ,십이동파,전주기상대(146),35.9867,126.225,95,,,,
958,2003.10.01, ,갈매여,전주기상대(146),35.6133,126.245,15,,,,
959,2003.10.01, ,해수서,광주지방기상청(156),34.2633,126.0267,12,,,,
960,2004.12.10, ,지귀도,제주지방기상청(184),33.2233,126.6542,18,,,,
961,2017.08.25, ,간여암,광주지방기상청(156),34.285,127.8578,27,,,,
961,2005.12.12,20170825,간여암,광주지방기상청(156),34.285,127.8578,26.5,,,,
962,2008.03.06, ,광안,부산지방기상청(159),35.1317,129.1358,12,,,,
963,2009.07.18, ,이덕서,울산기상대(152),35.5667,129.475,16,,,,
